policy,selected_rows,trades,markets,unique_days,net_pnl,net_roi,stressed_roi,excluded_rows,largest_day_share,largest_market_share
cheap_yes,640,640,71,1,-7.385000000000006,-0.08548937894310363,-0.20350859504965477,0,1.0,0.07899819182087485
expensive_yes,584,584,93,1,-22.516000000000002,-0.04268306553734864,-0.06342035178302512,0,1.0,0.04988748428089218
cheap_no,482,482,58,1,-37.894000000000005,-0.5664783089664245,-0.621083440039721,0,1.0,0.06028173250451172
final_window_yes,476,476,96,1,-45.154999999999994,-0.1677657855139232,-0.19619628599623215,0,1.0,0.03670476369545656
buy_every_yes,1532,1532,96,1,-50.691,-0.06585889662215097,-0.10162170401996176,0,1.0,0.027163131772914108
expensive_no,746,746,95,1,-53.724999999999994,-0.07986175628971719,-0.09982621847028629,0,1.0,0.06927346325585278
final_window_no,476,476,96,1,-57.61899999999999,-0.1860964604885359,-0.21037541635462914,0,1.0,0.05428938344082076
buy_every_no,1532,1532,96,1,-82.91900000000001,-0.09255189364217078,-0.12255992332922137,0,1.0,0.031258839088455864
